"模板 ID","模板名称","分类","步骤编号","前置状态","操作步骤","操作对象实例 ID","DefinitionName","操作端或按钮含义","操作类型","等待时间","预期 KM 状态","预期 KT 状态","预期 SQ 状态","预期电机状态","预期灯泡或风扇状态","预期运动方向或位置","预期参数估算","预期检查助手结果","数据或代码证据来源","是否需项目负责人确认"
"double_lamp_single_switch","单开控制双灯电路","家庭电路","double_lamp_single_switch-R-001","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","加载模板后点击“开始仿真”，再点击“检查当前电路”。","Workspace","","见操作步骤","点击","","模板默认状态未包含 KM。","模板默认状态未包含 KT。","模板默认状态未包含 SQ。","模板默认状态未包含电机。","Lamp_220V#1=Off；Lamp_220V#2=Off","不适用。","Inspector 报告快照包含“参数估算” Section；具体数值未由快照字段结构化保存，需项目负责人确认。","结构化 Validation 基线：Error=0，Warning=0；RuleId=。","TemplateStaticSnapshots.json + InspectorReportSnapshots.json；WorkspaceController.StartSimulation。","否"
"double_lamp_single_switch","单开控制双灯电路","家庭电路","double_lamp_single_switch-R-002","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","双击该可切换元件的操作区域切换状态，再执行一次仿真刷新；完成后恢复模板初始状态。","breaker_1","Breaker_2P","见操作步骤","切换","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerClick/Toggle。","是"
"double_lamp_single_switch","单开控制双灯电路","家庭电路","double_lamp_single_switch-R-003","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","双击该可切换元件的操作区域切换状态，再执行一次仿真刷新；完成后恢复模板初始状态。","switch_1","Single_Control_Switch","见操作步骤","切换","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerClick/Toggle。","是"
"double_lamp_single_switch","单开控制双灯电路","家庭电路","double_lamp_single_switch-R-004","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","点击“停止仿真”，随后重新加载同一模板。","Workspace","","见操作步骤","复位","","","TimerRuntimeState 被 ResetAll 清理；不保留上一轮计时。","","","","MotionRuntimeState 被 ResetAll 清理；重新创建时 Position=50、Direction=Stopped。","","停止不改写模板 JSON；重新加载后回到模板保存的 isClosed 与参数。","WorkspaceController.StopSimulation；SimulationEngine.ResetRuntimeState；RuntimeStateManager.ResetAll。","否"
"lamp_fan_parallel_template","电灯泡与电风扇并联控制电路","家庭电路","lamp_fan_parallel_template-R-001","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","加载模板后点击“开始仿真”，再点击“检查当前电路”。","Workspace","","见操作步骤","点击","","模板默认状态未包含 KM。","模板默认状态未包含 KT。","模板默认状态未包含 SQ。","模板默认状态未包含电机。","Fan_220V#1=Stopped；Lamp_220V#1=Off","不适用。","Inspector 报告快照包含“参数估算” Section；具体数值未由快照字段结构化保存，需项目负责人确认。","结构化 Validation 基线：Error=0，Warning=0；RuleId=。","TemplateStaticSnapshots.json + InspectorReportSnapshots.json；WorkspaceController.StartSimulation。","否"
"lamp_fan_parallel_template","电灯泡与电风扇并联控制电路","家庭电路","lamp_fan_parallel_template-R-002","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","双击该可切换元件的操作区域切换状态，再执行一次仿真刷新；完成后恢复模板初始状态。","switch_lamp","Single_Control_Switch","见操作步骤","切换","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerClick/Toggle。","是"
"lamp_fan_parallel_template","电灯泡与电风扇并联控制电路","家庭电路","lamp_fan_parallel_template-R-003","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","双击该可切换元件的操作区域切换状态，再执行一次仿真刷新；完成后恢复模板初始状态。","switch_fan","Single_Control_Switch","见操作步骤","切换","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerClick/Toggle。","是"
"lamp_fan_parallel_template","电灯泡与电风扇并联控制电路","家庭电路","lamp_fan_parallel_template-R-004","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","点击“停止仿真”，随后重新加载同一模板。","Workspace","","见操作步骤","复位","","","TimerRuntimeState 被 ResetAll 清理；不保留上一轮计时。","","","","MotionRuntimeState 被 ResetAll 清理；重新创建时 Position=50、Direction=Stopped。","","停止不改写模板 JSON；重新加载后回到模板保存的 isClosed 与参数。","WorkspaceController.StopSimulation；SimulationEngine.ResetRuntimeState；RuntimeStateManager.ResetAll。","否"
"meter_lamp_template","单相电能表照明电路","家庭电路","meter_lamp_template-R-001","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","加载模板后点击“开始仿真”，再点击“检查当前电路”。","Workspace","","见操作步骤","点击","","模板默认状态未包含 KM。","模板默认状态未包含 KT。","模板默认状态未包含 SQ。","模板默认状态未包含电机。","Lamp_220V#1=On","不适用。","Inspector 报告快照包含“参数估算” Section；具体数值未由快照字段结构化保存，需项目负责人确认。","结构化 Validation 基线：Error=0，Warning=0；RuleId=。","TemplateStaticSnapshots.json + InspectorReportSnapshots.json；WorkspaceController.StartSimulation。","否"
"meter_lamp_template","单相电能表照明电路","家庭电路","meter_lamp_template-R-002","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","双击该可切换元件的操作区域切换状态，再执行一次仿真刷新；完成后恢复模板初始状态。","breaker_1","Breaker_2P","见操作步骤","切换","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerClick/Toggle。","是"
"meter_lamp_template","单相电能表照明电路","家庭电路","meter_lamp_template-R-003","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","双击该可切换元件的操作区域切换状态，再执行一次仿真刷新；完成后恢复模板初始状态。","switch_1","Single_Control_Switch","见操作步骤","切换","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerClick/Toggle。","是"
"meter_lamp_template","单相电能表照明电路","家庭电路","meter_lamp_template-R-004","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","点击“停止仿真”，随后重新加载同一模板。","Workspace","","见操作步骤","复位","","","TimerRuntimeState 被 ResetAll 清理；不保留上一轮计时。","","","","MotionRuntimeState 被 ResetAll 清理；重新创建时 Position=50、Direction=Stopped。","","停止不改写模板 JSON；重新加载后回到模板保存的 isClosed 与参数。","WorkspaceController.StopSimulation；SimulationEngine.ResetRuntimeState；RuntimeStateManager.ResetAll。","否"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","motor_auto_reciprocating_control-R-001","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","加载模板后点击“开始仿真”，再点击“检查当前电路”。","Workspace","","见操作步骤","点击","","Contactor_KM_380V#1=CoilOff，线圈=否，主触点=否；Contactor_KM_380V#2=CoilOff，线圈=否，主触点=否","模板默认状态未包含 KT。","LimitSwitch_Compound#1=NotTriggered，触发=否；LimitSwitch_Compound#2=NotTriggered，触发=否","Motor_ThreePhase_380V#1=Stopped，星三角=","模板默认状态未包含灯泡或风扇。","默认运行态由 Reset 创建时 Position=50、Direction=Stopped。","Inspector 报告快照包含“参数估算” Section；具体数值未由快照字段结构化保存，需项目负责人确认。","结构化 Validation 基线：Error=0，Warning=0；RuleId=。","TemplateStaticSnapshots.json + InspectorReportSnapshots.json；WorkspaceController.StartSimulation。","否"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","motor_auto_reciprocating_control-R-002","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","双击该可切换元件的操作区域切换状态，再执行一次仿真刷新；完成后恢复模板初始状态。","breaker_3p_1","Breaker_3P","见操作步骤","切换","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerClick/Toggle。","是"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","motor_auto_reciprocating_control-R-003","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","双击该可切换元件的操作区域切换状态，再执行一次仿真刷新；完成后恢复模板初始状态。","fuse_3p_1","Fuse_3P","见操作步骤","切换","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerClick/Toggle。","是"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","motor_auto_reciprocating_control-R-004","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","在仿真运行中按下并保持该瞬时按钮，观察后释放；每次状态变化后由当前实现刷新仿真。","stop_1","Button_Stop_NC","见操作步骤","按下 / 释放","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerDown/OnPointerUp/SetMomentaryPressed。","是"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","motor_auto_reciprocating_control-R-005","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","在仿真运行中按下并保持该瞬时按钮，观察后释放；每次状态变化后由当前实现刷新仿真。","start_1","Button_Start_NO","见操作步骤","按下 / 释放","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerDown/OnPointerUp/SetMomentaryPressed。","是"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","motor_auto_reciprocating_control-R-006","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","双击该可切换元件的操作区域切换状态，再执行一次仿真刷新；完成后恢复模板初始状态。","sq_left","LimitSwitch_Compound","见操作步骤","切换","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerClick/Toggle。","是"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","motor_auto_reciprocating_control-R-007","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","双击该可切换元件的操作区域切换状态，再执行一次仿真刷新；完成后恢复模板初始状态。","sq_right","LimitSwitch_Compound","见操作步骤","切换","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerClick/Toggle。","是"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","motor_auto_reciprocating_control-R-008","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","仅在 motor_1 已运行时持续观察运行态，直到位置到达边界或方向切换。","motor_1 / sq_left / sq_right","Motor_ThreePhase_380V / LimitSwitch_Compound","见操作步骤","等待","5s","","","","","","条件确定：Position 初始 50，范围 0..100，速度 20；正向增加、反向减少，到边界分别触发 sq_left/sq_right 的虚拟限位。实际从哪个按钮进入正反向需项目负责人确认。","","","RuntimeStateManager.MotionRuntimeState；SimulationEngine.UpdateAutoReciprocatingMotionDirection / IsVirtualLimitSwitchTriggered。","是"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","motor_auto_reciprocating_control-R-009","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","点击“停止仿真”，随后重新加载同一模板。","Workspace","","见操作步骤","复位","","","TimerRuntimeState 被 ResetAll 清理；不保留上一轮计时。","","","","MotionRuntimeState 被 ResetAll 清理；重新创建时 Position=50、Direction=Stopped。","","停止不改写模板 JSON；重新加载后回到模板保存的 isClosed 与参数。","WorkspaceController.StopSimulation；SimulationEngine.ResetRuntimeState；RuntimeStateManager.ResetAll。","否"
"motor_forward_reverse_control","电动机正反转控制电路","工业电路","motor_forward_reverse_control-R-001","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","加载模板后点击“开始仿真”，再点击“检查当前电路”。","Workspace","","见操作步骤","点击","","Contactor_KM_380V#1=CoilOff，线圈=否，主触点=否；Contactor_KM_380V#2=CoilOff，线圈=否，主触点=否","模板默认状态未包含 KT。","模板默认状态未包含 SQ。","Motor_ThreePhase_380V#1=Stopped，星三角=","模板默认状态未包含灯泡或风扇。","不适用。","Inspector 报告快照包含“参数估算” Section；具体数值未由快照字段结构化保存，需项目负责人确认。","结构化 Validation 基线：Error=0，Warning=0；RuleId=。","TemplateStaticSnapshots.json + InspectorReportSnapshots.json；WorkspaceController.StartSimulation。","否"
"motor_forward_reverse_control","电动机正反转控制电路","工业电路","motor_forward_reverse_control-R-002","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","双击该可切换元件的操作区域切换状态，再执行一次仿真刷新；完成后恢复模板初始状态。","breaker_3p_1","Breaker_3P","见操作步骤","切换","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerClick/Toggle。","是"
"motor_forward_reverse_control","电动机正反转控制电路","工业电路","motor_forward_reverse_control-R-003","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","双击该可切换元件的操作区域切换状态，再执行一次仿真刷新；完成后恢复模板初始状态。","fuse_3p_1","Fuse_3P","见操作步骤","切换","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerClick/Toggle。","是"
"motor_forward_reverse_control","电动机正反转控制电路","工业电路","motor_forward_reverse_control-R-004","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","在仿真运行中按下并保持该瞬时按钮，观察后释放；每次状态变化后由当前实现刷新仿真。","stop_1","Button_Stop_NC","见操作步骤","按下 / 释放","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerDown/OnPointerUp/SetMomentaryPressed。","是"
"motor_forward_reverse_control","电动机正反转控制电路","工业电路","motor_forward_reverse_control-R-005","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","在仿真运行中按下并保持该瞬时按钮，观察后释放；每次状态变化后由当前实现刷新仿真。","forward_button_1","Button_Start_NO","见操作步骤","按下 / 释放","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerDown/OnPointerUp/SetMomentaryPressed。","是"
"motor_forward_reverse_control","电动机正反转控制电路","工业电路","motor_forward_reverse_control-R-006","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","在仿真运行中按下并保持该瞬时按钮，观察后释放；每次状态变化后由当前实现刷新仿真。","reverse_button_1","Button_Start_NO","见操作步骤","按下 / 释放","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerDown/OnPointerUp/SetMomentaryPressed。","是"
"motor_forward_reverse_control","电动机正反转控制电路","工业电路","motor_forward_reverse_control-R-007","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","点击“停止仿真”，随后重新加载同一模板。","Workspace","","见操作步骤","复位","","","TimerRuntimeState 被 ResetAll 清理；不保留上一轮计时。","","","","MotionRuntimeState 被 ResetAll 清理；重新创建时 Position=50、Direction=Stopped。","","停止不改写模板 JSON；重新加载后回到模板保存的 isClosed 与参数。","WorkspaceController.StopSimulation；SimulationEngine.ResetRuntimeState；RuntimeStateManager.ResetAll。","否"
"motor_forward_reverse_double_interlock","按钮和接触器双重联锁正反转控制电路","工业电路","motor_forward_reverse_double_interlock-R-001","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","加载模板后点击“开始仿真”，再点击“检查当前电路”。","Workspace","","见操作步骤","点击","","Contactor_KM_380V#1=CoilOff，线圈=否，主触点=否；Contactor_KM_380V#2=CoilOff，线圈=否，主触点=否","模板默认状态未包含 KT。","模板默认状态未包含 SQ。","Motor_ThreePhase_380V#1=Stopped，星三角=","模板默认状态未包含灯泡或风扇。","不适用。","Inspector 报告快照包含“参数估算” Section；具体数值未由快照字段结构化保存，需项目负责人确认。","结构化 Validation 基线：Error=0，Warning=0；RuleId=。","TemplateStaticSnapshots.json + InspectorReportSnapshots.json；WorkspaceController.StartSimulation。","否"
"motor_forward_reverse_double_interlock","按钮和接触器双重联锁正反转控制电路","工业电路","motor_forward_reverse_double_interlock-R-002","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","双击该可切换元件的操作区域切换状态，再执行一次仿真刷新；完成后恢复模板初始状态。","breaker_3p_1","Breaker_3P","见操作步骤","切换","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerClick/Toggle。","是"
"motor_forward_reverse_double_interlock","按钮和接触器双重联锁正反转控制电路","工业电路","motor_forward_reverse_double_interlock-R-003","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","双击该可切换元件的操作区域切换状态，再执行一次仿真刷新；完成后恢复模板初始状态。","fuse_3p_1","Fuse_3P","见操作步骤","切换","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerClick/Toggle。","是"
"motor_forward_reverse_double_interlock","按钮和接触器双重联锁正反转控制电路","工业电路","motor_forward_reverse_double_interlock-R-004","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","在仿真运行中按下并保持该瞬时按钮，观察后释放；每次状态变化后由当前实现刷新仿真。","stop_1","Button_Stop_NC","见操作步骤","按下 / 释放","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerDown/OnPointerUp/SetMomentaryPressed。","是"
"motor_forward_reverse_double_interlock","按钮和接触器双重联锁正反转控制电路","工业电路","motor_forward_reverse_double_interlock-R-005","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","在仿真运行中按下并保持该瞬时按钮，观察后释放；每次状态变化后由当前实现刷新仿真。","forward_button_1","Button_Compound_Green_SB","见操作步骤","按下 / 释放","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerDown/OnPointerUp/SetMomentaryPressed。","是"
"motor_forward_reverse_double_interlock","按钮和接触器双重联锁正反转控制电路","工业电路","motor_forward_reverse_double_interlock-R-006","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","在仿真运行中按下并保持该瞬时按钮，观察后释放；每次状态变化后由当前实现刷新仿真。","reverse_button_1","Button_Compound_SB","见操作步骤","按下 / 释放","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerDown/OnPointerUp/SetMomentaryPressed。","是"
"motor_forward_reverse_double_interlock","按钮和接触器双重联锁正反转控制电路","工业电路","motor_forward_reverse_double_interlock-R-007","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","点击“停止仿真”，随后重新加载同一模板。","Workspace","","见操作步骤","复位","","","TimerRuntimeState 被 ResetAll 清理；不保留上一轮计时。","","","","MotionRuntimeState 被 ResetAll 清理；重新创建时 Position=50、Direction=Stopped。","","停止不改写模板 JSON；重新加载后回到模板保存的 isClosed 与参数。","WorkspaceController.StopSimulation；SimulationEngine.ResetRuntimeState；RuntimeStateManager.ResetAll。","否"
