"DefinitionName","元件显示名称","元件分类","supportLevel","showInPalette","是否参与运行时仿真","是否参与参数估算","terminalId","端子显示标签","端子类型","端子功能","功能来源","常开常闭或普通","属性来源","主控制测量分类","分类来源","端子方向或画面位置","Visual Prefab 是否存在","Runtime Visual Catalog 是否存在","被哪些模板使用","备注"
"Breaker_3P","空气开关3P","Household","ParameterCalculationSupported","是","是","是","P1_IN","进1","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧上方（normalizedPosition=0.25,1；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"Breaker_3P","空气开关3P","Household","ParameterCalculationSupported","是","是","是","P1_OUT","出1","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧下方（normalizedPosition=0.25,0；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"Breaker_3P","空气开关3P","Household","ParameterCalculationSupported","是","是","是","P2_IN","进2","Neutral","Neutral","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","测量端子","根据元件分类和 terminalId 推导","中间上方（normalizedPosition=0.5,1；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"Breaker_3P","空气开关3P","Household","ParameterCalculationSupported","是","是","是","P2_OUT","出2","Neutral","Neutral","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","测量端子","根据元件分类和 terminalId 推导","中间下方（normalizedPosition=0.5,0；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"Breaker_3P","空气开关3P","Household","ParameterCalculationSupported","是","是","是","P3_IN","进3","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧上方（normalizedPosition=0.75,1；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"Breaker_3P","空气开关3P","Household","ParameterCalculationSupported","是","是","是","P3_OUT","出3","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧下方（normalizedPosition=0.75,0；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"Breaker_4P","空气开关4P","Household","ParameterCalculationSupported","是","是","是","P1_IN","进1","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧上方（normalizedPosition=0.2,1；原始坐标）","是","是","未被 18 张标准模板使用",""
"Breaker_4P","空气开关4P","Household","ParameterCalculationSupported","是","是","是","P1_OUT","出1","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧下方（normalizedPosition=0.2,0；原始坐标）","是","是","未被 18 张标准模板使用",""
"Breaker_4P","空气开关4P","Household","ParameterCalculationSupported","是","是","是","P2_IN","进2","Neutral","Neutral","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","测量端子","根据元件分类和 terminalId 推导","中间上方（normalizedPosition=0.4,1；原始坐标）","是","是","未被 18 张标准模板使用",""
"Breaker_4P","空气开关4P","Household","ParameterCalculationSupported","是","是","是","P2_OUT","出2","Neutral","Neutral","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","测量端子","根据元件分类和 terminalId 推导","中间下方（normalizedPosition=0.4,0；原始坐标）","是","是","未被 18 张标准模板使用",""
"Breaker_4P","空气开关4P","Household","ParameterCalculationSupported","是","是","是","P3_IN","进3","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间上方（normalizedPosition=0.6,1；原始坐标）","是","是","未被 18 张标准模板使用",""
"Breaker_4P","空气开关4P","Household","ParameterCalculationSupported","是","是","是","P3_OUT","出3","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间下方（normalizedPosition=0.6,0；原始坐标）","是","是","未被 18 张标准模板使用",""
"Breaker_4P","空气开关4P","Household","ParameterCalculationSupported","是","是","是","P4_IN","进4","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧上方（normalizedPosition=0.8,1；原始坐标）","是","是","未被 18 张标准模板使用",""
"Breaker_4P","空气开关4P","Household","ParameterCalculationSupported","是","是","是","P4_OUT","出4","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧下方（normalizedPosition=0.8,0；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_2H","2位端子横排","Industrial","ConnectorOnly","是","是","否","T1","1A","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧中部（normalizedPosition=0.12,0.68；原始坐标）","是","是","motor_star_delta_start",""
"TerminalBlock_2H","2位端子横排","Industrial","ConnectorOnly","是","是","否","B1","1B","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧中部（normalizedPosition=0.12,0.32；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_2H","2位端子横排","Industrial","ConnectorOnly","是","是","否","T2","2A","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧中部（normalizedPosition=0.88,0.68；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_2H","2位端子横排","Industrial","ConnectorOnly","是","是","否","B2","2B","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧中部（normalizedPosition=0.88,0.32；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_2V","2位端子竖排","Industrial","ConnectorOnly","是","是","否","L1","1A","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间上方（normalizedPosition=0.32,0.88；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_2V","2位端子竖排","Industrial","ConnectorOnly","是","是","否","R1","1B","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间上方（normalizedPosition=0.68,0.88；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_2V","2位端子竖排","Industrial","ConnectorOnly","是","是","否","L2","2A","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间下方（normalizedPosition=0.32,0.12；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_2V","2位端子竖排","Industrial","ConnectorOnly","是","是","否","R2","2B","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间下方（normalizedPosition=0.68,0.12；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_3H","3位端子横排","Industrial","ConnectorOnly","是","是","否","T1","1A","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧中部（normalizedPosition=0.12,0.68；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_3H","3位端子横排","Industrial","ConnectorOnly","是","是","否","B1","1B","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧中部（normalizedPosition=0.12,0.32；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_3H","3位端子横排","Industrial","ConnectorOnly","是","是","否","T2","2A","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间中部（normalizedPosition=0.5,0.68；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_3H","3位端子横排","Industrial","ConnectorOnly","是","是","否","B2","2B","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间中部（normalizedPosition=0.5,0.32；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_3H","3位端子横排","Industrial","ConnectorOnly","是","是","否","T3","3A","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧中部（normalizedPosition=0.88,0.68；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_3H","3位端子横排","Industrial","ConnectorOnly","是","是","否","B3","3B","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧中部（normalizedPosition=0.88,0.32；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_3V","3位端子竖排","Industrial","ConnectorOnly","是","是","否","L1","1A","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间上方（normalizedPosition=0.32,0.88；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_3V","3位端子竖排","Industrial","ConnectorOnly","是","是","否","R1","1B","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间上方（normalizedPosition=0.68,0.88；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_3V","3位端子竖排","Industrial","ConnectorOnly","是","是","否","L2","2A","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间中部（normalizedPosition=0.32,0.5；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_3V","3位端子竖排","Industrial","ConnectorOnly","是","是","否","R2","2B","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间中部（normalizedPosition=0.68,0.5；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_3V","3位端子竖排","Industrial","ConnectorOnly","是","是","否","L3","3A","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间下方（normalizedPosition=0.32,0.12；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_3V","3位端子竖排","Industrial","ConnectorOnly","是","是","否","R3","3B","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间下方（normalizedPosition=0.68,0.12；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6H","6位端子横排","Industrial","ConnectorOnly","是","是","否","T1","1A","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧中部（normalizedPosition=0.12,0.68；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6H","6位端子横排","Industrial","ConnectorOnly","是","是","否","B1","1B","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧中部（normalizedPosition=0.12,0.32；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6H","6位端子横排","Industrial","ConnectorOnly","是","是","否","T2","2A","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间中部（normalizedPosition=0.272,0.68；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6H","6位端子横排","Industrial","ConnectorOnly","是","是","否","B2","2B","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间中部（normalizedPosition=0.272,0.32；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6H","6位端子横排","Industrial","ConnectorOnly","是","是","否","T3","3A","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间中部（normalizedPosition=0.424,0.68；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6H","6位端子横排","Industrial","ConnectorOnly","是","是","否","B3","3B","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间中部（normalizedPosition=0.424,0.32；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6H","6位端子横排","Industrial","ConnectorOnly","是","是","否","T4","4A","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间中部（normalizedPosition=0.576,0.68；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6H","6位端子横排","Industrial","ConnectorOnly","是","是","否","B4","4B","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间中部（normalizedPosition=0.576,0.32；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6H","6位端子横排","Industrial","ConnectorOnly","是","是","否","T5","5A","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间中部（normalizedPosition=0.728,0.68；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6H","6位端子横排","Industrial","ConnectorOnly","是","是","否","B5","5B","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间中部（normalizedPosition=0.728,0.32；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6H","6位端子横排","Industrial","ConnectorOnly","是","是","否","T6","6A","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧中部（normalizedPosition=0.88,0.68；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6H","6位端子横排","Industrial","ConnectorOnly","是","是","否","B6","6B","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧中部（normalizedPosition=0.88,0.32；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6V","6位端子竖排","Industrial","ConnectorOnly","是","是","否","L1","1A","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间上方（normalizedPosition=0.32,0.88；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6V","6位端子竖排","Industrial","ConnectorOnly","是","是","否","R1","1B","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间上方（normalizedPosition=0.68,0.88；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6V","6位端子竖排","Industrial","ConnectorOnly","是","是","否","L2","2A","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间中部（normalizedPosition=0.32,0.728；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6V","6位端子竖排","Industrial","ConnectorOnly","是","是","否","R2","2B","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间中部（normalizedPosition=0.68,0.728；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6V","6位端子竖排","Industrial","ConnectorOnly","是","是","否","L3","3A","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间中部（normalizedPosition=0.32,0.576；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6V","6位端子竖排","Industrial","ConnectorOnly","是","是","否","R3","3B","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间中部（normalizedPosition=0.68,0.576；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6V","6位端子竖排","Industrial","ConnectorOnly","是","是","否","L4","4A","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间中部（normalizedPosition=0.32,0.424；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6V","6位端子竖排","Industrial","ConnectorOnly","是","是","否","R4","4B","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间中部（normalizedPosition=0.68,0.424；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6V","6位端子竖排","Industrial","ConnectorOnly","是","是","否","L5","5A","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间中部（normalizedPosition=0.32,0.272；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6V","6位端子竖排","Industrial","ConnectorOnly","是","是","否","R5","5B","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间中部（normalizedPosition=0.68,0.272；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6V","6位端子竖排","Industrial","ConnectorOnly","是","是","否","L6","6A","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间下方（normalizedPosition=0.32,0.12；原始坐标）","是","是","未被 18 张标准模板使用",""
"TerminalBlock_6V","6位端子竖排","Industrial","ConnectorOnly","是","是","否","R6","6B","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间下方（normalizedPosition=0.68,0.12；原始坐标）","是","是","未被 18 张标准模板使用",""
"PLC_Output_24V","PLC输出模块
(24V)","Industrial","VisualOnly","否","否","否","Y0","Y0","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧上方（normalizedPosition=0,0.75；原始坐标）","否","是","未被 18 张标准模板使用","当前隐藏；不参与运行时仿真"
