"用例 ID","模板 ID","模板名称","规则 ID","严重等级","规则分类","初始模板","修改类型","涉及实例 ID","DefinitionName","起点 terminalId","终点 terminalId","原导线编号","精确操作步骤","预期检查结果","是否应阻止正常运行","是否应停止正常参数估算","是否允许叠加其他错误","证据来源","是否需项目负责人确认"
"NEG-011","motor_self_hold_control","电动机连续运行控制电路","STOP_BUTTON_BYPASSED","Error","ControlCircuit","motor_self_hold_control","旁路","需项目负责人确认","需项目负责人确认","需项目负责人确认","需项目负责人确认","需项目负责人确认","历史人工用例：停止按钮断开后，控制电源 L1 → KM A1 的直接跨接。模板中对应 stop/KM 实例与原导线编号需负责人确认。","出现 STOP_BUTTON_BYPASSED。","未由当前规则快照统一声明；需项目负责人确认。","需项目负责人确认。","需项目负责人确认。","Docs/V2.3.6.4_NegativePerturbationTestSet.md:SB-01；TopologySafetyTests.cs:Test_StopButtonBypassed","是"
"NEG-012","motor_self_hold_control","电动机连续运行控制电路","SELF_HOLDING_BRANCH_INCOMPLETE","Warning","ControlCircuit","motor_self_hold_control","删除导线","需项目负责人确认","需项目负责人确认","需项目负责人确认","需项目负责人确认","需项目负责人确认","保留 KM 13 或 14 的一侧，删除另一侧自锁线；历史资料未冻结具体 W-xxx，需负责人确认。","出现 SELF_HOLDING_BRANCH_INCOMPLETE。","未由当前规则快照统一声明；需项目负责人确认。","需项目负责人确认。","需项目负责人确认。","Docs/V2.3.6.4_NegativePerturbationTestSet.md:SH-01；TopologySafetyTests.cs:Test_SelfHoldingIncomplete","是"
"NEG-013","motor_forward_reverse_control","电动机正反转控制电路","REVERSING_CONTACTOR_CONFLICT","Error","ControlCircuit","motor_forward_reverse_control","旁路","需项目负责人确认","需项目负责人确认","需项目负责人确认","需项目负责人确认","需项目负责人确认","历史人工用例：正转运行后，控制电源 L1 直接跨接反转 KM A1；模板的方向 KM 实例与启动前提需负责人确认。","出现 REVERSING_CONTACTOR_CONFLICT。","未由当前规则快照统一声明；需项目负责人确认。","需项目负责人确认。","需项目负责人确认。","Docs/V2.3.6.4_NegativePerturbationTestSet.md:RV-01；TopologySafetyTests.cs:Test_ReversingConflict","是"
"NEG-014","motor_star_delta_start","星三角降压启动控制电路","STAR_DELTA_PARTIAL_STARPOINT_SHORT","Error","StarDelta","motor_star_delta_start","增加导线","motor_star_delta","Motor_StarDelta_380V","U2","V2","不适用（新增直接导线）","在 motor_star_delta 的 U2 → V2 增加一条直接导线；不删除既有导线。历史用例=SD-S-01。","出现 STAR_DELTA_PARTIAL_STARPOINT_SHORT。","未由当前规则快照统一声明；需项目负责人确认。","是：历史负向资料要求不输出正常星三角电流估算。","需项目负责人确认。","Docs/V2.3.6.4_NegativePerturbationTestSet.md:SD-S-01；CircuitValidationService 星三角静态直接导线检查。","否"
"NEG-015","motor_star_delta_start","星三角降压启动控制电路","STAR_DELTA_PARTIAL_STARPOINT_SHORT","Error","StarDelta","motor_star_delta_start","增加导线","motor_star_delta","Motor_StarDelta_380V","V2","W2","不适用（新增直接导线）","在 motor_star_delta 的 V2 → W2 增加一条直接导线；不删除既有导线。历史用例=SD-S-02。","出现 STAR_DELTA_PARTIAL_STARPOINT_SHORT。","未由当前规则快照统一声明；需项目负责人确认。","是：历史负向资料要求不输出正常星三角电流估算。","需项目负责人确认。","Docs/V2.3.6.4_NegativePerturbationTestSet.md:SD-S-02；CircuitValidationService 星三角静态直接导线检查。","否"
"NEG-016","motor_star_delta_start","星三角降压启动控制电路","STAR_DELTA_PARTIAL_STARPOINT_SHORT","Error","StarDelta","motor_star_delta_start","增加导线","motor_star_delta","Motor_StarDelta_380V","U2","W2","不适用（新增直接导线）","在 motor_star_delta 的 U2 → W2 增加一条直接导线；不删除既有导线。历史用例=SD-S-03。","出现 STAR_DELTA_PARTIAL_STARPOINT_SHORT。","未由当前规则快照统一声明；需项目负责人确认。","是：历史负向资料要求不输出正常星三角电流估算。","需项目负责人确认。","Docs/V2.3.6.4_NegativePerturbationTestSet.md:SD-S-03；CircuitValidationService 星三角静态直接导线检查。","否"
"NEG-017","motor_star_delta_start","星三角降压启动控制电路","STAR_DELTA_INPUT_TERMINAL_SHORT","Error","StarDelta","motor_star_delta_start","增加导线","motor_star_delta","Motor_StarDelta_380V","U1","V1","不适用（新增直接导线）","在 motor_star_delta 的 U1 → V1 增加一条直接导线；不删除既有导线。历史用例=SD-I-01。","出现 STAR_DELTA_INPUT_TERMINAL_SHORT。","未由当前规则快照统一声明；需项目负责人确认。","是：历史负向资料要求不输出正常星三角电流估算。","需项目负责人确认。","Docs/V2.3.6.4_NegativePerturbationTestSet.md:SD-I-01；CircuitValidationService 星三角静态直接导线检查。","否"
"NEG-018","motor_star_delta_start","星三角降压启动控制电路","STAR_DELTA_INPUT_TERMINAL_SHORT","Error","StarDelta","motor_star_delta_start","增加导线","motor_star_delta","Motor_StarDelta_380V","V1","W1","不适用（新增直接导线）","在 motor_star_delta 的 V1 → W1 增加一条直接导线；不删除既有导线。历史用例=SD-I-02。","出现 STAR_DELTA_INPUT_TERMINAL_SHORT。","未由当前规则快照统一声明；需项目负责人确认。","是：历史负向资料要求不输出正常星三角电流估算。","需项目负责人确认。","Docs/V2.3.6.4_NegativePerturbationTestSet.md:SD-I-02；CircuitValidationService 星三角静态直接导线检查。","否"
"NEG-019","motor_star_delta_start","星三角降压启动控制电路","STAR_DELTA_INPUT_TERMINAL_SHORT","Error","StarDelta","motor_star_delta_start","增加导线","motor_star_delta","Motor_StarDelta_380V","U1","W1","不适用（新增直接导线）","在 motor_star_delta 的 U1 → W1 增加一条直接导线；不删除既有导线。历史用例=SD-I-03。","出现 STAR_DELTA_INPUT_TERMINAL_SHORT。","未由当前规则快照统一声明；需项目负责人确认。","是：历史负向资料要求不输出正常星三角电流估算。","需项目负责人确认。","Docs/V2.3.6.4_NegativePerturbationTestSet.md:SD-I-03；CircuitValidationService 星三角静态直接导线检查。","否"
"NEG-020","N/A（Editor 测试工厂）","","COMPLEX_LOOP_OR_UNSUPPORTED_TOPOLOGY","Warning","General","N/A（Editor 测试工厂）","增加导线","需项目负责人确认","需项目负责人确认","需项目负责人确认","需项目负责人确认","需项目负责人确认","当前自动测试会临时降低 TopologyTraversalLimits 后构造 30 节点链；正式产品阈值下没有稳定手工端点。","出现 COMPLEX_LOOP_OR_UNSUPPORTED_TOPOLOGY。","未由当前规则快照统一声明；需项目负责人确认。","需项目负责人确认。","需项目负责人确认。","Assets/Scripts/Editor/TopologySafetyTests.cs:Test_ComplexTopologyExceeded","是"
