"模板ID","模板名称","模板分类","导线序号","起点实例ID","起点实例显示名称","起点DefinitionName","起点terminalId","起点端子显示标签","终点实例ID","终点实例显示名称","终点DefinitionName","终点terminalId","终点端子显示标签","导线颜色","导线样式","是否为手动折线","路径点数量","所属回路类型","接线说明","数据来源"
"double_control_lamp_template","双控照明电路","家庭电路","W-002","switch_a","单开双控开关 [switch_a]（根据实例 ID 推导）","Two_Way_Switch","L1","L1","switch_b","单开双控开关 [switch_b]（根据实例 ID 推导）","Two_Way_Switch","L1","L1","#F21F1F","Orthogonal","是","6","主回路或供电端（推导）","单开双控开关 [switch_a]（根据实例 ID 推导）.L1 → 单开双控开关 [switch_b]（根据实例 ID 推导）.L1","模板 JSON：Blueprints/Templates/double_control_lamp_template"
"double_control_lamp_template","双控照明电路","家庭电路","W-003","switch_a","单开双控开关 [switch_a]（根据实例 ID 推导）","Two_Way_Switch","L2","L2","switch_b","单开双控开关 [switch_b]（根据实例 ID 推导）","Two_Way_Switch","L2","L2","#F21F1F","Orthogonal","是","6","主回路或供电端（推导）","单开双控开关 [switch_a]（根据实例 ID 推导）.L2 → 单开双控开关 [switch_b]（根据实例 ID 推导）.L2","模板 JSON：Blueprints/Templates/double_control_lamp_template"
"double_control_lamp_template","双控照明电路","家庭电路","W-004","switch_b","单开双控开关 [switch_b]（根据实例 ID 推导）","Two_Way_Switch","L","L","lamp_1","电灯泡(220V) [lamp_1]（根据实例 ID 推导）","Lamp_220V","L","L","#F21F1F","Orthogonal","否","0","主回路或供电端（推导）","单开双控开关 [switch_b]（根据实例 ID 推导）.L → 电灯泡(220V) [lamp_1]（根据实例 ID 推导）.L","模板 JSON：Blueprints/Templates/double_control_lamp_template"
"double_control_lamp_template","双控照明电路","家庭电路","W-005","power_1","220V电源 [power_1]（根据实例 ID 推导）","AC_220V_Power","N","N","lamp_1","电灯泡(220V) [lamp_1]（根据实例 ID 推导）","Lamp_220V","N","N","#1A59F2","Orthogonal","是","6","未自动判定","220V电源 [power_1]（根据实例 ID 推导）.N → 电灯泡(220V) [lamp_1]（根据实例 ID 推导）.N","模板 JSON：Blueprints/Templates/double_control_lamp_template"
"double_lamp_single_switch","单开控制双灯电路","家庭电路","W-001","power_1","220V电源 [power_1]（根据实例 ID 推导）","AC_220V_Power","L","L","breaker_1","空气开关2P [breaker_1]（根据实例 ID 推导）","Breaker_2P","P1_IN","进1","#F21F1F","","否","0","主回路或供电端（推导）","220V电源 [power_1]（根据实例 ID 推导）.L → 空气开关2P [breaker_1]（根据实例 ID 推导）.进1","模板 JSON：Blueprints/Templates/double_lamp_single_switch_template"
"double_lamp_single_switch","单开控制双灯电路","家庭电路","W-002","power_1","220V电源 [power_1]（根据实例 ID 推导）","AC_220V_Power","N","N","breaker_1","空气开关2P [breaker_1]（根据实例 ID 推导）","Breaker_2P","P2_IN","进2","#1A59F2","","是","6","测量回路（推导）","220V电源 [power_1]（根据实例 ID 推导）.N → 空气开关2P [breaker_1]（根据实例 ID 推导）.进2","模板 JSON：Blueprints/Templates/double_lamp_single_switch_template"
"double_lamp_single_switch","单开控制双灯电路","家庭电路","W-003","breaker_1","空气开关2P [breaker_1]（根据实例 ID 推导）","Breaker_2P","P1_OUT","出1","switch_1","单开单控开关 [switch_1]（根据实例 ID 推导）","Single_Control_Switch","L","L","#F21F1F","","是","6","主回路或供电端（推导）","空气开关2P [breaker_1]（根据实例 ID 推导）.出1 → 单开单控开关 [switch_1]（根据实例 ID 推导）.L","模板 JSON：Blueprints/Templates/double_lamp_single_switch_template"
"double_lamp_single_switch","单开控制双灯电路","家庭电路","W-004","switch_1","单开单控开关 [switch_1]（根据实例 ID 推导）","Single_Control_Switch","L1","L1","lamp_1","电灯泡(220V) [lamp_1]（根据实例 ID 推导）","Lamp_220V","L","L","#F21F1F","","否","0","主回路或供电端（推导）","单开单控开关 [switch_1]（根据实例 ID 推导）.L1 → 电灯泡(220V) [lamp_1]（根据实例 ID 推导）.L","模板 JSON：Blueprints/Templates/double_lamp_single_switch_template"
"double_lamp_single_switch","单开控制双灯电路","家庭电路","W-005","switch_1","单开单控开关 [switch_1]（根据实例 ID 推导）","Single_Control_Switch","L1","L1","lamp_2","电灯泡(220V) [lamp_2]（根据实例 ID 推导）","Lamp_220V","L","L","#F21F1F","","否","0","主回路或供电端（推导）","单开单控开关 [switch_1]（根据实例 ID 推导）.L1 → 电灯泡(220V) [lamp_2]（根据实例 ID 推导）.L","模板 JSON：Blueprints/Templates/double_lamp_single_switch_template"
"double_lamp_single_switch","单开控制双灯电路","家庭电路","W-006","breaker_1","空气开关2P [breaker_1]（根据实例 ID 推导）","Breaker_2P","P2_OUT","出2","lamp_1","电灯泡(220V) [lamp_1]（根据实例 ID 推导）","Lamp_220V","N","N","#1A59F2","","是","6","测量回路（推导）","空气开关2P [breaker_1]（根据实例 ID 推导）.出2 → 电灯泡(220V) [lamp_1]（根据实例 ID 推导）.N","模板 JSON：Blueprints/Templates/double_lamp_single_switch_template"
"double_lamp_single_switch","单开控制双灯电路","家庭电路","W-007","breaker_1","空气开关2P [breaker_1]（根据实例 ID 推导）","Breaker_2P","P2_OUT","出2","lamp_2","电灯泡(220V) [lamp_2]（根据实例 ID 推导）","Lamp_220V","N","N","#1A59F2","","是","6","测量回路（推导）","空气开关2P [breaker_1]（根据实例 ID 推导）.出2 → 电灯泡(220V) [lamp_2]（根据实例 ID 推导）.N","模板 JSON：Blueprints/Templates/double_lamp_single_switch_template"
"lamp_fan_parallel_template","电灯泡与电风扇并联控制电路","家庭电路","W-001","power_1","220V电源 [power_1]（根据实例 ID 推导）","AC_220V_Power","L","L","switch_lamp","单开单控开关 [switch_lamp]（根据实例 ID 推导）","Single_Control_Switch","L","L","#F21F1F","Orthogonal","是","6","主回路或供电端（推导）","220V电源 [power_1]（根据实例 ID 推导）.L → 单开单控开关 [switch_lamp]（根据实例 ID 推导）.L","模板 JSON：Blueprints/Templates/lamp_fan_parallel_template"
"lamp_fan_parallel_template","电灯泡与电风扇并联控制电路","家庭电路","W-002","switch_lamp","单开单控开关 [switch_lamp]（根据实例 ID 推导）","Single_Control_Switch","L1","L1","lamp_1","电灯泡(220V) [lamp_1]（根据实例 ID 推导）","Lamp_220V","L","L","#F21F1F","Orthogonal","是","6","主回路或供电端（推导）","单开单控开关 [switch_lamp]（根据实例 ID 推导）.L1 → 电灯泡(220V) [lamp_1]（根据实例 ID 推导）.L","模板 JSON：Blueprints/Templates/lamp_fan_parallel_template"
"lamp_fan_parallel_template","电灯泡与电风扇并联控制电路","家庭电路","W-003","power_1","220V电源 [power_1]（根据实例 ID 推导）","AC_220V_Power","N","N","lamp_1","电灯泡(220V) [lamp_1]（根据实例 ID 推导）","Lamp_220V","N","N","#1A59F2","Orthogonal","是","6","未自动判定","220V电源 [power_1]（根据实例 ID 推导）.N → 电灯泡(220V) [lamp_1]（根据实例 ID 推导）.N","模板 JSON：Blueprints/Templates/lamp_fan_parallel_template"
"lamp_fan_parallel_template","电灯泡与电风扇并联控制电路","家庭电路","W-004","power_1","220V电源 [power_1]（根据实例 ID 推导）","AC_220V_Power","L","L","switch_fan","单开单控开关 [switch_fan]（根据实例 ID 推导）","Single_Control_Switch","L","L","#F21F1F","Orthogonal","是","6","主回路或供电端（推导）","220V电源 [power_1]（根据实例 ID 推导）.L → 单开单控开关 [switch_fan]（根据实例 ID 推导）.L","模板 JSON：Blueprints/Templates/lamp_fan_parallel_template"
"lamp_fan_parallel_template","电灯泡与电风扇并联控制电路","家庭电路","W-005","switch_fan","单开单控开关 [switch_fan]（根据实例 ID 推导）","Single_Control_Switch","L1","L1","fan_1","电风扇(220V) [fan_1]（根据实例 ID 推导）","Fan_220V","L","L","#F21F1F","Orthogonal","是","6","主回路或供电端（推导）","单开单控开关 [switch_fan]（根据实例 ID 推导）.L1 → 电风扇(220V) [fan_1]（根据实例 ID 推导）.L","模板 JSON：Blueprints/Templates/lamp_fan_parallel_template"
"lamp_fan_parallel_template","电灯泡与电风扇并联控制电路","家庭电路","W-006","power_1","220V电源 [power_1]（根据实例 ID 推导）","AC_220V_Power","N","N","fan_1","电风扇(220V) [fan_1]（根据实例 ID 推导）","Fan_220V","N","N","#1A59F2","Orthogonal","是","6","未自动判定","220V电源 [power_1]（根据实例 ID 推导）.N → 电风扇(220V) [fan_1]（根据实例 ID 推导）.N","模板 JSON：Blueprints/Templates/lamp_fan_parallel_template"
"meter_lamp_template","单相电能表照明电路","家庭电路","W-001","power_1","220V电源 [power_1]（根据实例 ID 推导）","AC_220V_Power","L","L","meter_1","单相电能表(220V) [meter_1]（根据实例 ID 推导）","Single_Phase_Meter","L_IN","L进","#F21F1F","Orthogonal","是","6","主回路或供电端（推导）","220V电源 [power_1]（根据实例 ID 推导）.L → 单相电能表(220V) [meter_1]（根据实例 ID 推导）.L进","模板 JSON：Blueprints/Templates/meter_lamp_template"
"meter_lamp_template","单相电能表照明电路","家庭电路","W-002","power_1","220V电源 [power_1]（根据实例 ID 推导）","AC_220V_Power","N","N","meter_1","单相电能表(220V) [meter_1]（根据实例 ID 推导）","Single_Phase_Meter","N_IN","N进","#1A59F2","Orthogonal","是","6","未自动判定","220V电源 [power_1]（根据实例 ID 推导）.N → 单相电能表(220V) [meter_1]（根据实例 ID 推导）.N进","模板 JSON：Blueprints/Templates/meter_lamp_template"
"meter_lamp_template","单相电能表照明电路","家庭电路","W-003","meter_1","单相电能表(220V) [meter_1]（根据实例 ID 推导）","Single_Phase_Meter","L_OUT","L出","breaker_1","空气开关2P [breaker_1]（根据实例 ID 推导）","Breaker_2P","P1_IN","进1","#F21F1F","Orthogonal","是","6","主回路或供电端（推导）","单相电能表(220V) [meter_1]（根据实例 ID 推导）.L出 → 空气开关2P [breaker_1]（根据实例 ID 推导）.进1","模板 JSON：Blueprints/Templates/meter_lamp_template"
"meter_lamp_template","单相电能表照明电路","家庭电路","W-004","meter_1","单相电能表(220V) [meter_1]（根据实例 ID 推导）","Single_Phase_Meter","N_OUT","N出","breaker_1","空气开关2P [breaker_1]（根据实例 ID 推导）","Breaker_2P","P2_IN","进2","#1A59F2","Orthogonal","是","6","测量回路（推导）","单相电能表(220V) [meter_1]（根据实例 ID 推导）.N出 → 空气开关2P [breaker_1]（根据实例 ID 推导）.进2","模板 JSON：Blueprints/Templates/meter_lamp_template"
"meter_lamp_template","单相电能表照明电路","家庭电路","W-005","breaker_1","空气开关2P [breaker_1]（根据实例 ID 推导）","Breaker_2P","P1_OUT","出1","switch_1","单开单控开关 [switch_1]（根据实例 ID 推导）","Single_Control_Switch","L","L","#F21F1F","Orthogonal","是","6","主回路或供电端（推导）","空气开关2P [breaker_1]（根据实例 ID 推导）.出1 → 单开单控开关 [switch_1]（根据实例 ID 推导）.L","模板 JSON：Blueprints/Templates/meter_lamp_template"
"meter_lamp_template","单相电能表照明电路","家庭电路","W-006","switch_1","单开单控开关 [switch_1]（根据实例 ID 推导）","Single_Control_Switch","L1","L1","lamp_1","电灯泡(220V) [lamp_1]（根据实例 ID 推导）","Lamp_220V","L","L","#F21F1F","Orthogonal","是","6","主回路或供电端（推导）","单开单控开关 [switch_1]（根据实例 ID 推导）.L1 → 电灯泡(220V) [lamp_1]（根据实例 ID 推导）.L","模板 JSON：Blueprints/Templates/meter_lamp_template"
"meter_lamp_template","单相电能表照明电路","家庭电路","W-007","breaker_1","空气开关2P [breaker_1]（根据实例 ID 推导）","Breaker_2P","P2_OUT","出2","lamp_1","电灯泡(220V) [lamp_1]（根据实例 ID 推导）","Lamp_220V","N","N","#1A59F2","Orthogonal","是","6","测量回路（推导）","空气开关2P [breaker_1]（根据实例 ID 推导）.出2 → 电灯泡(220V) [lamp_1]（根据实例 ID 推导）.N","模板 JSON：Blueprints/Templates/meter_lamp_template"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","W-001","power_3p_1","三相交流电源 [power_3p_1]（根据实例 ID 推导）","AC_ThreePhase_Power","L1","L1","breaker_3p_1","空气开关3P [breaker_3p_1]（根据实例 ID 推导）","Breaker_3P","P1_IN","进1","#F2C71F","Orthogonal","是","6","主回路或供电端（推导）","三相交流电源 [power_3p_1]（根据实例 ID 推导）.L1 → 空气开关3P [breaker_3p_1]（根据实例 ID 推导）.进1","模板 JSON：Blueprints/Templates/motor_auto_reciprocating_control_template"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","W-002","power_3p_1","三相交流电源 [power_3p_1]（根据实例 ID 推导）","AC_ThreePhase_Power","L2","L2","breaker_3p_1","空气开关3P [breaker_3p_1]（根据实例 ID 推导）","Breaker_3P","P2_IN","进2","#14A640","Orthogonal","是","6","主回路（推导）","三相交流电源 [power_3p_1]（根据实例 ID 推导）.L2 → 空气开关3P [breaker_3p_1]（根据实例 ID 推导）.进2","模板 JSON：Blueprints/Templates/motor_auto_reciprocating_control_template"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","W-003","power_3p_1","三相交流电源 [power_3p_1]（根据实例 ID 推导）","AC_ThreePhase_Power","L3","L3","breaker_3p_1","空气开关3P [breaker_3p_1]（根据实例 ID 推导）","Breaker_3P","P3_IN","进3","#F21F1F","Orthogonal","否","0","主回路或供电端（推导）","三相交流电源 [power_3p_1]（根据实例 ID 推导）.L3 → 空气开关3P [breaker_3p_1]（根据实例 ID 推导）.进3","模板 JSON：Blueprints/Templates/motor_auto_reciprocating_control_template"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","W-004","breaker_3p_1","空气开关3P [breaker_3p_1]（根据实例 ID 推导）","Breaker_3P","P1_OUT","出1","fuse_3p_1","熔断器3P(FU) [fuse_3p_1]（根据实例 ID 推导）","Fuse_3P","L1_IN","L1","#F2C71F","Orthogonal","是","6","主回路或供电端（推导）","空气开关3P [breaker_3p_1]（根据实例 ID 推导）.出1 → 熔断器3P(FU) [fuse_3p_1]（根据实例 ID 推导）.L1","模板 JSON：Blueprints/Templates/motor_auto_reciprocating_control_template"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","W-005","breaker_3p_1","空气开关3P [breaker_3p_1]（根据实例 ID 推导）","Breaker_3P","P2_OUT","出2","fuse_3p_1","熔断器3P(FU) [fuse_3p_1]（根据实例 ID 推导）","Fuse_3P","L2_IN","L2","#14A640","Orthogonal","是","6","主回路（推导）","空气开关3P [breaker_3p_1]（根据实例 ID 推导）.出2 → 熔断器3P(FU) [fuse_3p_1]（根据实例 ID 推导）.L2","模板 JSON：Blueprints/Templates/motor_auto_reciprocating_control_template"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","W-006","breaker_3p_1","空气开关3P [breaker_3p_1]（根据实例 ID 推导）","Breaker_3P","P3_OUT","出3","fuse_3p_1","熔断器3P(FU) [fuse_3p_1]（根据实例 ID 推导）","Fuse_3P","L3_IN","L3","#F21F1F","Orthogonal","是","6","主回路或供电端（推导）","空气开关3P [breaker_3p_1]（根据实例 ID 推导）.出3 → 熔断器3P(FU) [fuse_3p_1]（根据实例 ID 推导）.L3","模板 JSON：Blueprints/Templates/motor_auto_reciprocating_control_template"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","W-007","fuse_3p_1","熔断器3P(FU) [fuse_3p_1]（根据实例 ID 推导）","Fuse_3P","L1_OUT","T1","km_forward","交流接触器(KM) (380V) [km_forward]（根据实例 ID 推导）","Contactor_KM_380V","L1","1/L1","#F2C71F","Orthogonal","是","6","主回路或供电端（推导）","熔断器3P(FU) [fuse_3p_1]（根据实例 ID 推导）.T1 → 交流接触器(KM) (380V) [km_forward]（根据实例 ID 推导）.1/L1","模板 JSON：Blueprints/Templates/motor_auto_reciprocating_control_template"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","W-008","fuse_3p_1","熔断器3P(FU) [fuse_3p_1]（根据实例 ID 推导）","Fuse_3P","L2_OUT","T2","km_forward","交流接触器(KM) (380V) [km_forward]（根据实例 ID 推导）","Contactor_KM_380V","L2","3/L2","#14A640","Orthogonal","是","6","主回路或供电端（推导）","熔断器3P(FU) [fuse_3p_1]（根据实例 ID 推导）.T2 → 交流接触器(KM) (380V) [km_forward]（根据实例 ID 推导）.3/L2","模板 JSON：Blueprints/Templates/motor_auto_reciprocating_control_template"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","W-009","fuse_3p_1","熔断器3P(FU) [fuse_3p_1]（根据实例 ID 推导）","Fuse_3P","L3_OUT","T3","km_forward","交流接触器(KM) (380V) [km_forward]（根据实例 ID 推导）","Contactor_KM_380V","L3","5/L3","#F21F1F","Orthogonal","是","6","主回路或供电端（推导）","熔断器3P(FU) [fuse_3p_1]（根据实例 ID 推导）.T3 → 交流接触器(KM) (380V) [km_forward]（根据实例 ID 推导）.5/L3","模板 JSON：Blueprints/Templates/motor_auto_reciprocating_control_template"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","W-010","fuse_3p_1","熔断器3P(FU) [fuse_3p_1]（根据实例 ID 推导）","Fuse_3P","L1_OUT","T1","km_reverse","交流接触器(KM) (380V) [km_reverse]（根据实例 ID 推导）","Contactor_KM_380V","L1","1/L1","#F2C71F","Orthogonal","否","0","主回路或供电端（推导）","熔断器3P(FU) [fuse_3p_1]（根据实例 ID 推导）.T1 → 交流接触器(KM) (380V) [km_reverse]（根据实例 ID 推导）.1/L1","模板 JSON：Blueprints/Templates/motor_auto_reciprocating_control_template"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","W-011","fuse_3p_1","熔断器3P(FU) [fuse_3p_1]（根据实例 ID 推导）","Fuse_3P","L2_OUT","T2","km_reverse","交流接触器(KM) (380V) [km_reverse]（根据实例 ID 推导）","Contactor_KM_380V","L2","3/L2","#14A640","Orthogonal","否","0","主回路或供电端（推导）","熔断器3P(FU) [fuse_3p_1]（根据实例 ID 推导）.T2 → 交流接触器(KM) (380V) [km_reverse]（根据实例 ID 推导）.3/L2","模板 JSON：Blueprints/Templates/motor_auto_reciprocating_control_template"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","W-012","fuse_3p_1","熔断器3P(FU) [fuse_3p_1]（根据实例 ID 推导）","Fuse_3P","L3_OUT","T3","km_reverse","交流接触器(KM) (380V) [km_reverse]（根据实例 ID 推导）","Contactor_KM_380V","L3","5/L3","#F21F1F","Orthogonal","否","0","主回路或供电端（推导）","熔断器3P(FU) [fuse_3p_1]（根据实例 ID 推导）.T3 → 交流接触器(KM) (380V) [km_reverse]（根据实例 ID 推导）.5/L3","模板 JSON：Blueprints/Templates/motor_auto_reciprocating_control_template"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","W-013","km_forward","交流接触器(KM) (380V) [km_forward]（根据实例 ID 推导）","Contactor_KM_380V","T1","2/T1","motor_1","三相异步电动机 (380V) [motor_1]（根据实例 ID 推导）","Motor_ThreePhase_380V","U","U","#F2C71F","Orthogonal","是","6","主回路或供电端（推导）","交流接触器(KM) (380V) [km_forward]（根据实例 ID 推导）.2/T1 → 三相异步电动机 (380V) [motor_1]（根据实例 ID 推导）.U","模板 JSON：Blueprints/Templates/motor_auto_reciprocating_control_template"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","W-014","km_forward","交流接触器(KM) (380V) [km_forward]（根据实例 ID 推导）","Contactor_KM_380V","T2","4/T2","motor_1","三相异步电动机 (380V) [motor_1]（根据实例 ID 推导）","Motor_ThreePhase_380V","V","V","#14A640","Orthogonal","是","6","主回路或供电端（推导）","交流接触器(KM) (380V) [km_forward]（根据实例 ID 推导）.4/T2 → 三相异步电动机 (380V) [motor_1]（根据实例 ID 推导）.V","模板 JSON：Blueprints/Templates/motor_auto_reciprocating_control_template"
"motor_auto_reciprocating_control","自动往返电动机控制电路","工业电路","W-015","km_forward","交流接触器(KM) (380V) [km_forward]（根据实例 ID 推导）","Contactor_KM_380V","T3","6/T3","motor_1","三相异步电动机 (380V) [motor_1]（根据实例 ID 推导）","Motor_ThreePhase_380V","W","W","#F21F1F","Orthogonal","是","6","主回路或供电端（推导）","交流接触器(KM) (380V) [km_forward]（根据实例 ID 推导）.6/T3 → 三相异步电动机 (380V) [motor_1]（根据实例 ID 推导）.W","模板 JSON：Blueprints/Templates/motor_auto_reciprocating_control_template"
